pay_range,Avg Pay,Acceptance Rate,pay_range lower,pay_range upper,pay_range center,Revenue,Profit,Accepted Rides,Ride Requests,Profit/Ride,Profit/Request
"(-0.001, 5.0]",1.864,0.0,0,5,2.5,0.0,0.0,0,17,,0.0
"(5.0, 10.0]",7.961,0.045,5,10,7.5,14.4,45.6,2,44,22.8,1.036
"(10.0, 15.0]",12.818,0.043,10,15,12.5,51.45,68.55,4,94,17.138,0.729
"(15.0, 20.0]",17.586,0.139,15,20,17.5,307.53,202.47,17,122,11.91,1.66
"(20.0, 25.0]",22.46,0.325,20,25,22.5,1498.61,451.39,65,200,6.944,2.257
"(25.0, 30.0]",27.381,0.699,25,30,27.5,3390.45,299.55,123,176,2.435,1.702
"(30.0, 35.0]",32.375,0.86,30,35,32.5,4587.99,-357.99,141,164,-2.539,-2.183
"(35.0, 40.0]",37.25,0.944,35,40,37.5,3762.47,-732.47,101,107,-7.252,-6.846
"(40.0, 45.0]",41.931,0.957,40,45,42.5,1845.19,-525.19,44,46,-11.936,-11.417
"(45.0, 50.0]",46.8,1.0,45,50,47.5,982.8,-352.8,21,21,-16.8,-16.8
"(50.0, 55.0]",51.464,1.0,50,55,52.5,463.18,-193.18,9,9,-21.464,-21.464
