,Fixed Driver Pay,1-M Total Rides,1-M Total Earnings
0,15.0,20.97,314.55
1,18.0,57.774,693.2880000000001
2,21.0,176.74400000000003,1590.6960000000004
3,24.0,398.10600000000005,2388.6360000000004
4,24.2,419.494,2433.0652000000005
5,24.4,444.48600000000005,2489.1216000000004
6,24.599999999999998,468.2780000000001,2528.7012000000013
7,24.799999999999997,493.21400000000006,2564.7128000000016
8,24.999999999999996,518.6920000000001,2593.460000000002
9,25.199999999999996,541.7339999999999,2600.3232000000025
10,25.399999999999995,566.0980000000001,2604.0508000000027
11,25.599999999999994,592.9179999999999,2608.839200000003
12,25.799999999999994,611.9759999999999,2570.2992000000036
13,26.0,633.7139999999999,2534.8559999999998
14,26.2,651.526,2475.7988000000005
15,26.4,671.56,2417.616000000001
16,26.599999999999998,687.0659999999999,2336.024400000001
17,26.799999999999997,702.608,2248.3456000000015
18,26.999999999999996,719.65,2158.9500000000025
19,27.199999999999996,731.9140000000001,2049.3592000000035
20,27.399999999999995,746.51,1940.9260000000036
21,27.599999999999994,758.1540000000001,1819.5696000000044
22,27.799999999999994,771.9100000000001,1698.2020000000048
23,28.0,784.254,1568.508
24,30.0,890.5600000000001,0.0
