,pay,rides,earnings
0,15.0,21.381999999999756,320.72999999999627
1,18.0,61.07800000000005,732.9360000000006
2,21.0,212.9219999999993,1916.2979999999939
3,24.0,668.9459999999983,4013.67599999999
4,24.2,733.211999999998,4252.629599999989
5,24.4,808.0979999999987,4525.348799999994
6,24.599999999999998,887.3259999999988,4791.560399999997
7,24.799999999999997,973.6899999999993,5063.187999999999
8,24.999999999999996,1075.6879999999996,5378.440000000003
9,25.199999999999996,1182.4119999999998,5675.577600000004
10,25.399999999999995,1296.9939999999992,5966.172400000005
11,25.599999999999994,1417.1719999999991,6235.556800000004
12,25.799999999999994,1540.999999999999,6472.200000000006
13,26.0,1667.807999999999,6671.231999999996
14,26.2,1798.8179999999988,6835.508399999999
15,26.4,1931.6659999999988,6953.997599999998
16,26.599999999999998,2075.3959999999984,7056.346399999999
17,26.799999999999997,2196.937999999999,7030.201600000002
18,26.999999999999996,2339.8499999999985,7019.550000000006
19,27.199999999999996,2482.615999999999,6951.324800000008
20,27.399999999999995,2626.8979999999992,6829.93480000001
21,27.599999999999994,2786.986,6688.766400000015
22,27.799999999999994,2928.1199999999985,6441.864000000015
23,28.0,3107.087999999999,6214.175999999998
24,30.0,5367.860000000001,0.0
