,0,1,2,3,4,5,6,7,8,9,10,11
0,362.0,537.0,635.0,688.0,725.0,754.0,782.0,804.0,820.0,834.0,851.0,863.0
1,382.0,193.0,119.0,74.0,64.0,56.0,38.0,38.0,31.0,32.0,22.0,23.0
2,176.0,131.0,91.0,75.0,59.0,56.0,48.0,32.0,32.0,26.0,23.0,22.0
3,61.0,78.0,67.0,56.0,51.0,40.0,35.0,28.0,30.0,22.0,22.0,15.0
4,14.0,32.0,44.0,42.0,33.0,21.0,24.0,30.0,18.0,24.0,19.0,15.0
5,5.0,19.0,19.0,28.0,28.0,16.0,22.0,17.0,18.0,14.0,18.0,12.0
6,,7.0,13.0,12.0,9.0,19.0,9.0,9.0,8.0,12.0,5.0,7.0
7,,2.0,6.0,8.0,9.0,18.0,16.0,10.0,13.0,7.0,8.0,7.0
8,,1.0,3.0,4.0,7.0,4.0,5.0,10.0,9.0,5.0,3.0,9.0
9,,,2.0,7.0,4.0,8.0,7.0,3.0,4.0,7.0,5.0,9.0
10,,,1.0,3.0,2.0,1.0,3.0,7.0,4.0,4.0,7.0,2.0
11,,,,1.0,1.0,3.0,6.0,4.0,3.0,2.0,4.0,3.0
12,,,,,4.0,2.0,,1.0,5.0,2.0,1.0,1.0
13,,,,1.0,1.0,,1.0,2.0,2.0,1.0,3.0,4.0
14,,,,,1.0,1.0,3.0,3.0,,2.0,4.0,1.0
15,,,,,1.0,,1.0,2.0,,1.0,,2.0
16,,,,1.0,,1.0,,,1.0,,,1.0
17,,,,,1.0,,,,1.0,,1.0,
18,,,,,,,,,1.0,2.0,,
19,,,,,,,,,,,1.0,
21,,,,,,,,,,,1.0,1.0
22,,,,,,,,,,,,1.0
23,,,,,,,,,,,,1.0
24,,,,,,,,,,2.0,1.0,
25,,,,,,,,,,1.0,,1.0
26,,,,,,,,,,,1.0,
